Section,Day,Time,TimeSlot,Subject,SubjectName,Teacher,TeacherName,Room,RoomType,ActivityType,Scheme,WeeklyHours
SEC55,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC55,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC55,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC55,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC56,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC56,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC56,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC56,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC56,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC56,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC56,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC56,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC56,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC56,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC56,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC56,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC57,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC57,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC57,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC57,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC57,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC57,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC57,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC57,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC57,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC57,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC57,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC57,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC58,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC58,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC58,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC58,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC58,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC58,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC58,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC58,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC58,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC58,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC58,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC58,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC59,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC59,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC59,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC59,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC59,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC59,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC59,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC59,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC59,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC59,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC59,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC59,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC60,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC60,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC60,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC60,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC60,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC60,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC60,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC60,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC60,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC60,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC60,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC60,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC61,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC61,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC61,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC61,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC61,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC61,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC61,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC61,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC61,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC61,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC61,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC61,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC62,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC62,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC62,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC62,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC62,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC62,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC62,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC62,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC62,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC62,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC62,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC62,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC63,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC63,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC63,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC63,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC63,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC63,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC63,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC63,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC63,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC63,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC63,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC63,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC64,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC64,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC64,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC64,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC64,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC64,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC64,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC64,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC64,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC64,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC64,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC64,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC65,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC65,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC65,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC65,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC65,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC65,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC65,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC65,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC65,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC65,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC65,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC65,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC66,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC66,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC66,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC66,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC66,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC66,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC66,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC66,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC67,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC67,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC67,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC67,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC67,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC67,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC67,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC67,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC68,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC68,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC68,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC68,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC68,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC68,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC68,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC68,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC69,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC69,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC69,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC69,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC69,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC69,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC69,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC69,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC70,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC70,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC70,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC70,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC70,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC70,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC70,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC70,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC71,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC71,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC71,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC71,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC71,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC71,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC71,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC71,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC71,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC71,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC71,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC71,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2
SEC72,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC72,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC72,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC72,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC72,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",TBD,"TBD",TBD,Classroom,Elective,B,
SEC72,Mon,10:11,Mon_10_11,B001,"T&NM",TBD,"TBD",Classroom_01,Classroom,THEORY,B,4
SEC72,Mon,11:12,Mon_11_12,B002,"Phy.",TBD,"TBD",Classroom_02,Classroom,THEORY,B,3
SEC72,Mon,12:01,Mon_12_01,B003,"Sc.LS.",TBD,"TBD",Classroom_03,Classroom,THEORY,B,2
SEC72,Mon,02:03,Mon_02_03,B004,"EVS",TBD,"TBD",Classroom_04,Classroom,THEORY,B,2
SEC72,Mon,03:04,Mon_03_04,B005," Phy. Lab",TBD,"TBD",Lab_05,Lab,LAB,B,1
SEC72,Tue,10:11,Tue_10_11,B006,"ED&Graphics.",TBD,"TBD",Lab_06,Lab,LAB,B,1
SEC72,Tue,11:12,Tue_11_12,B007,"PL(T) & Prog. Lab",TBD,"TBD",Lab_07,Lab,LAB,B,2