LOCATION A,LOCATION B,TRANSIT TIME(Minutes),RequiredGapSlots
a-dl-lab,campus-17-class,20,1
b--wl-lab,campus-17-class,20,1
c-wl-lab,campus-17-class,20,1
lab-cam-3-lab,campus-17-class,20,1
campus--3phy/ed-lab,campus-17-class,20,1
a-dl--lab,campus-8class,20,1
b-wl-lab,campus-8class,20,1
c-wl-lab,campus-8class,20,1
lab-cam-3-lab,campus-8class,20,1
campus--3phy/ed-lab,campus-8class,20,1
block-e-camp-3-lab,cam-3-class,20,1
chem-lab-cam3-lab,cam-3-class,20,1
block-a-camp-3-lab,cam-3-class,20,1
em-lab-cam-8--lab,cam-3-class,20,1
workshop-cam-8,cam-3-class,20,1
sy-cam-13,cam-3-class,20,1
block-e-camp-3-lab,cam-12-class,20,1
chem-lab-cam3-lab,cam-12-class,20,1
block-a-camp-3-lab,cam-12-class,20,1
em-lab-cam-8--lab,cam-12-class,20,1
workshop-cam-8,cam-12-class,20,1
sy-cam-13,cam-12-class,20,1
a-dl-lab,b--wl-lab,20,1
a-dl-lab,c-wl-lab,20,1
a-dl-lab,lab-cam-3-lab,20,1
a-dl-lab,campus--3phy/ed-lab,20,1
a-dl-lab,a-dl--lab,20,1
a-dl-lab,campus-8class,20,1
a-dl-lab,b-wl-lab,20,1
a-dl-lab,block-e-camp-3-lab,20,1
a-dl-lab,cam-3-class,20,1
a-dl-lab,chem-lab-cam3-lab,20,1
a-dl-lab,block-a-camp-3-lab,20,1
a-dl-lab,em-lab-cam-8--lab,20,1
a-dl-lab,cam-12-class,20,1
campus-17-class,a-dl-lab,20,1
campus-17-class,b--wl-lab,20,1
campus-17-class,c-wl-lab,20,1
campus-17-class,lab-cam-3-lab,20,1
campus-17-class,campus--3phy/ed-lab,20,1
campus-17-class,a-dl--lab,20,1
campus-17-class,b-wl-lab,20,1
campus-17-class,block-e-camp-3-lab,20,1
campus-17-class,chem-lab-cam3-lab,20,1
campus-17-class,block-a-camp-3-lab,20,1
campus-17-class,em-lab-cam-8--lab,20,1
b--wl-lab,a-dl-lab,20,1
b--wl-lab,c-wl-lab,20,1
b--wl-lab,lab-cam-3-lab,20,1
b--wl-lab,campus--3phy/ed-lab,20,1
b--wl-lab,a-dl--lab,20,1
b--wl-lab,campus-8class,20,1
b--wl-lab,b-wl-lab,20,1
b--wl-lab,block-e-camp-3-lab,20,1
b--wl-lab,cam-3-class,20,1
b--wl-lab,chem-lab-cam3-lab,20,1
b--wl-lab,block-a-camp-3-lab,20,1
b--wl-lab,em-lab-cam-8--lab,20,1
b--wl-lab,cam-12-class,20,1
c-wl-lab,a-dl-lab,20,1
c-wl-lab,b--wl-lab,20,1
c-wl-lab,lab-cam-3-lab,20,1
c-wl-lab,campus--3phy/ed-lab,20,1
c-wl-lab,a-dl--lab,20,1
c-wl-lab,b-wl-lab,20,1
c-wl-lab,block-e-camp-3-lab,20,1
c-wl-lab,cam-3-class,20,1
c-wl-lab,chem-lab-cam3-lab,20,1
c-wl-lab,block-a-camp-3-lab,20,1
c-wl-lab,em-lab-cam-8--lab,20,1
c-wl-lab,cam-12-class,20,1
lab-cam-3-lab,a-dl-lab,20,1
lab-cam-3-lab,b--wl-lab,20,1
lab-cam-3-lab,c-wl-lab,20,1
lab-cam-3-lab,campus--3phy/ed-lab,20,1
lab-cam-3-lab,a-dl--lab,20,1
lab-cam-3-lab,b-wl-lab,20,1
lab-cam-3-lab,block-e-camp-3-lab,20,1
lab-cam-3-lab,cam-3-class,20,1
lab-cam-3-lab,chem-lab-cam3-lab,20,1
lab-cam-3-lab,block-a-camp-3-lab,20,1
lab-cam-3-lab,em-lab-cam-8--lab,20,1
lab-cam-3-lab,cam-12-class,20,1
campus--3phy/ed-lab,a-dl-lab,20,1
campus--3phy/ed-lab,b--wl-lab,20,1
campus--3phy/ed-lab,c-wl-lab,20,1
campus--3phy/ed-lab,lab-cam-3-lab,20,1
campus--3phy/ed-lab,a-dl--lab,20,1
campus--3phy/ed-lab,b-wl-lab,20,1
campus--3phy/ed-lab,block-e-camp-3-lab,20,1
campus--3phy/ed-lab,cam-3-class,20,1
campus--3phy/ed-lab,chem-lab-cam3-lab,20,1
campus--3phy/ed-lab,block-a-camp-3-lab,20,1
campus--3phy/ed-lab,em-lab-cam-8--lab,20,1
campus--3phy/ed-lab,cam-12-class,20,1
a-dl--lab,a-dl-lab,20,1
a-dl--lab,campus-17-class,20,1
a-dl--lab,b--wl-lab,20,1
a-dl--lab,c-wl-lab,20,1
a-dl--lab,lab-cam-3-lab,20,1
a-dl--lab,campus--3phy/ed-lab,20,1
a-dl--lab,b-wl-lab,20,1
a-dl--lab,block-e-camp-3-lab,20,1
a-dl--lab,cam-3-class,20,1
a-dl--lab,chem-lab-cam3-lab,20,1
a-dl--lab,block-a-camp-3-lab,20,1
a-dl--lab,em-lab-cam-8--lab,20,1
a-dl--lab,cam-12-class,20,1
campus-8class,a-dl-lab,20,1
campus-8class,b--wl-lab,20,1
campus-8class,c-wl-lab,20,1
campus-8class,lab-cam-3-lab,20,1
campus-8class,campus--3phy/ed-lab,20,1
campus-8class,a-dl--lab,20,1
campus-8class,b-wl-lab,20,1
campus-8class,block-e-camp-3-lab,20,1
campus-8class,chem-lab-cam3-lab,20,1
campus-8class,block-a-camp-3-lab,20,1
campus-8class,em-lab-cam-8--lab,20,1
b-wl-lab,a-dl-lab,20,1
b-wl-lab,campus-17-class,20,1
b-wl-lab,b--wl-lab,20,1
b-wl-lab,c-wl-lab,20,1
b-wl-lab,lab-cam-3-lab,20,1
b-wl-lab,campus--3phy/ed-lab,20,1
b-wl-lab,a-dl--lab,20,1
b-wl-lab,block-e-camp-3-lab,20,1
b-wl-lab,cam-3-class,20,1
b-wl-lab,chem-lab-cam3-lab,20,1
b-wl-lab,block-a-camp-3-lab,20,1
b-wl-lab,em-lab-cam-8--lab,20,1
b-wl-lab,cam-12-class,20,1
block-e-camp-3-lab,a-dl-lab,20,1
block-e-camp-3-lab,campus-17-class,20,1
block-e-camp-3-lab,b--wl-lab,20,1
block-e-camp-3-lab,c-wl-lab,20,1
block-e-camp-3-lab,lab-cam-3-lab,20,1
block-e-camp-3-lab,campus--3phy/ed-lab,20,1
block-e-camp-3-lab,a-dl--lab,20,1
block-e-camp-3-lab,campus-8class,20,1
block-e-camp-3-lab,b-wl-lab,20,1
block-e-camp-3-lab,chem-lab-cam3-lab,20,1
block-e-camp-3-lab,block-a-camp-3-lab,20,1
block-e-camp-3-lab,em-lab-cam-8--lab,20,1
cam-3-class,a-dl-lab,20,1
cam-3-class,b--wl-lab,20,1
cam-3-class,c-wl-lab,20,1
cam-3-class,lab-cam-3-lab,20,1
cam-3-class,campus--3phy/ed-lab,20,1
cam-3-class,a-dl--lab,20,1
cam-3-class,b-wl-lab,20,1
cam-3-class,block-e-camp-3-lab,20,1
cam-3-class,chem-lab-cam3-lab,20,1
cam-3-class,block-a-camp-3-lab,20,1
cam-3-class,em-lab-cam-8--lab,20,1
chem-lab-cam3-lab,a-dl-lab,20,1
chem-lab-cam3-lab,campus-17-class,20,1
chem-lab-cam3-lab,b--wl-lab,20,1
chem-lab-cam3-lab,c-wl-lab,20,1
chem-lab-cam3-lab,lab-cam-3-lab,20,1
chem-lab-cam3-lab,campus--3phy/ed-lab,20,1
chem-lab-cam3-lab,a-dl--lab,20,1
chem-lab-cam3-lab,campus-8class,20,1
chem-lab-cam3-lab,b-wl-lab,20,1
chem-lab-cam3-lab,block-e-camp-3-lab,20,1
chem-lab-cam3-lab,block-a-camp-3-lab,20,1
chem-lab-cam3-lab,em-lab-cam-8--lab,20,1
block-a-camp-3-lab,a-dl-lab,20,1
block-a-camp-3-lab,campus-17-class,20,1
block-a-camp-3-lab,b--wl-lab,20,1
block-a-camp-3-lab,c-wl-lab,20,1
block-a-camp-3-lab,lab-cam-3-lab,20,1
block-a-camp-3-lab,campus--3phy/ed-lab,20,1
block-a-camp-3-lab,a-dl--lab,20,1
block-a-camp-3-lab,campus-8class,20,1
block-a-camp-3-lab,b-wl-lab,20,1
block-a-camp-3-lab,block-e-camp-3-lab,20,1
block-a-camp-3-lab,chem-lab-cam3-lab,20,1
block-a-camp-3-lab,em-lab-cam-8--lab,20,1
em-lab-cam-8--lab,a-dl-lab,20,1
em-lab-cam-8--lab,campus-17-class,20,1
em-lab-cam-8--lab,b--wl-lab,20,1
em-lab-cam-8--lab,c-wl-lab,20,1
em-lab-cam-8--lab,lab-cam-3-lab,20,1
em-lab-cam-8--lab,campus--3phy/ed-lab,20,1
em-lab-cam-8--lab,a-dl--lab,20,1
em-lab-cam-8--lab,campus-8class,20,1
em-lab-cam-8--lab,b-wl-lab,20,1
em-lab-cam-8--lab,block-e-camp-3-lab,20,1
em-lab-cam-8--lab,chem-lab-cam3-lab,20,1
em-lab-cam-8--lab,block-a-camp-3-lab,20,1
cam-12-class,a-dl-lab,20,1
cam-12-class,b--wl-lab,20,1
cam-12-class,c-wl-lab,20,1
cam-12-class,lab-cam-3-lab,20,1
cam-12-class,campus--3phy/ed-lab,20,1
cam-12-class,a-dl--lab,20,1
cam-12-class,b-wl-lab,20,1
cam-12-class,block-e-camp-3-lab,20,1
cam-12-class,chem-lab-cam3-lab,20,1
cam-12-class,block-a-camp-3-lab,20,1
cam-12-class,em-lab-cam-8--lab,20,1
